#Fatima Time Corrections    differences
#Fat ID     Ch.1-Chx:
0    31.625175
1    0       
2    -27.888220
3    100.680214
4    9.962461
5    1.615198
6    128.684204
7    -29.509071
8    -82.818436
9    3.238742
10   238.291550
11   -10.799036
12   -44.327320
13   252.547913
14   3.900413
15   -47.493561
16   25.305111
17   -20.162701
18   -20.381556
19   9.957592
20   49.605350
21   -20.271940
22   222.458588
23   233.949661
24   -33.848843
25   9.894090
26   192.293716
27   -6.897330
28   -83.141869
29   46.231033
30   101.954079
31   59.230175
32   303.420502
33   241.223053
34   160.678436
35   198.432022
36      0
37      0
38      0
39      0
40      0
41      0
42      0
43      0
44      0
45      0
46      0
47      0
48      0
49      0
50      0
51      0
