# Det   A           B               C           D
01    9.517178E-10    -1.500491E-05   2.372952E-01    -628.364558
02    1.016784E-09    -1.678574E-05   2.406916E-01    -614.126178
03    9.354304E-10    -1.534156E-05   2.564763E-01    -679.818496
04    1.138097E-09    -1.829029E-05   2.707173E-01    -718.455121
05    3.762618E-10    -5.912987E-06   1.739397E-01    -508.632111
06    9.137649E-10    -1.453735E-05   2.446561E-01    -652.323890
07    1.032737E-09    -1.612532E-05   2.724423E-01    -718.010113
08    1.000961E-09    -1.608215E-05   2.677739E-01    -720.646592
09    -3.341413E-09   6.071507E-05    -1.429682E-01   -163.013169
10    2.357236E-10    -2.425995E-06   1.561280E-01    -459.498247
11    9.649087E-10    -1.596724E-05   2.505742E-01    -649.857332
12    8.668997E-10    -1.418275E-05   2.353502E-01    -626.735496
13    1.217491E-09    -1.826372E-05   2.567905E-01    -641.492153
14    2.539475E-10    -3.480742E-06   1.647458E-01    -480.705317
15    5.322630E-10    -8.169271E-06   1.782370E-01    -489.419383
16    9.612404E-10    -1.611292E-05   2.635848E-01    -724.118839
17    8.787253E-10    -1.362322E-05   2.245425E-01    -599.459127
18    1.057383E-09    -1.638129E-05   2.397887E-01    -628.262001
19    8.917124E-10    -1.395800E-05   2.501327E-01    -661.512642
20    1.155392E-09    -1.739858E-05   2.477518E-01    -649.716253
21    1.015204E-09    -1.681926E-05   2.385680E-01    -607.653503
22    1.263512E-09    -2.230316E-05   2.787576E-01    -742.164699
23    1.151585E-09    -1.815368E-05   2.735509E-01    -731.968252
24    1.043546E-09    -1.736362E-05   2.486869E-01    -648.364846
25    9.772088E-10    -1.548734E-05   2.363762E-01    -627.989627
26    9.538752E-10    -1.603935E-05   2.515312E-01    -680.182472
27    9.611576E-10    -1.645171E-05   2.356679E-01    -616.873677
28    4.041788E-10    -5.216945E-06   1.626255E-01    -459.017189
29    3.216081E-10    -3.798048E-06   1.618087E-01    -467.716764
30    1.103727E-09    -1.707496E-05   2.466868E-01    -639.572496
31    1.265595E-09    -1.990720E-05   2.493470E-01    -609.403282
32    1.094174E-09    -1.776969E-05   2.592659E-01    -686.349417
33    3.036218E-10    -4.118737E-06   1.485629E-01    -438.569827
34    7.089668E-10    -1.133417E-05   2.259938E-01    -619.180606
35    9.273557E-10    -1.412831E-05   2.405510E-01    -632.622012
36    4.195025E-10    -6.017501E-06   1.544949E-01    -438.992629
#Ignore below but dont remove
36     0               0           0               0
37     0               0           0               0
38     0               0           0               0 
39     0               0           0               0 
40     0               0           0               0 
41     0               0           0               0
42     0               0           0               0 
43     0               0           0               0
44     0               0           0               0  
45     0               0           0               0 
46     0               0           0               0 
47     0               0           0               0 
48     0               0           0               0 
49     0               0           0               0
48	   0	0	0	0
49     0	0	0	0
50	   0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0


